1024B,512B,256B
0.001385,0.001683,0.003042
0.000916,0.002006,0.003421
0.000899,0.001809,0.004056
0.001095,0.001716,0.004102
0.001172,0.001907,0.004086
0.001205,0.001836,0.004118
0.001054,0.001761,0.004070
0.001139,0.001974,0.004091
0.001193,0.001870,0.004094
0.001079,0.002029,0.003382
0.000887,0.001948,0.004125
0.001180,0.001929,0.004075
0.001040,0.001739,0.004090
0.001134,0.001926,0.004111
0.001196,0.001773,0.004063
0.001120,0.002023,0.003361
0.000895,0.001887,0.004076
0.001033,0.001731,0.004078
0.001146,0.001924,0.004071
0.001017,0.001767,0.004104
0.001136,0.001927,0.004087
0.001026,0.001776,0.004069
0.001083,0.001705,0.004072
0.001147,0.001909,0.004067
0.001203,0.001862,0.004071
0.001056,0.001690,0.004109
0.001156,0.001958,0.004072
0.001204,0.001816,0.004068
0.001049,0.001690,0.004083
0.001185,0.001921,0.004090
0.001176,0.001849,0.004076
0.001061,0.002032,0.003380
0.000891,0.001888,0.004076
0.001057,0.002032,0.004098
0.001161,0.001914,0.004083
0.001211,0.001789,0.004095
0.001120,0.001954,0.004094
0.001197,0.001870,0.004080
0.001044,0.001759,0.004110
0.001067,0.001705,0.004085
0.001181,0.001896,0.004123
0.001068,0.002007,0.004106
0.001183,0.001863,0.004112
0.001098,0.001988,0.004088
0.001190,0.001831,0.004091
0.001064,0.001748,0.004069
0.001101,0.001959,0.004070
0.001162,0.001921,0.004109
0.001203,0.001860,0.004094
0.001204,0.001777,0.004118
