1024B,512B,256B
0.007058,0.010185,0.020219
0.006538,0.013175,0.020240
0.007266,0.008338,0.014355
0.004045,0.007793,0.020426
0.006735,0.008619,0.020788
0.006754,0.013342,0.018792
0.004306,0.013302,0.021162
0.007014,0.012997,0.019983
0.004276,0.012923,0.019752
0.004216,0.007896,0.015271
0.004137,0.012900,0.020514
0.006763,0.012831,0.020283
0.006703,0.008766,0.019819
0.004117,0.007876,0.014931
0.006757,0.009348,0.020460
0.006684,0.013302,0.015276
0.006740,0.009102,0.013626
0.003986,0.008295,0.020007
0.004105,0.012921,0.019740
0.004108,0.007857,0.020640
0.006683,0.008459,0.015268
0.006750,0.013265,0.018627
0.007323,0.012837,0.013651
0.004200,0.012917,0.014172
0.004189,0.012871,0.020790
0.006776,0.008618,0.020325
0.006721,0.008810,0.020275
0.004338,0.008118,0.019583
0.006701,0.009157,0.020579
0.004251,0.012918,0.020539
0.004205,0.008130,0.020639
0.004245,0.008109,0.020473
0.006799,0.008808,0.020109
0.004128,0.007932,0.020169
0.004207,0.012863,0.020745
0.007393,0.008202,0.020935
0.004247,0.013326,0.020276
0.004133,0.007845,0.015076
0.005368,0.008991,0.019691
0.004196,0.007559,0.019748
0.004216,0.007903,0.015270
0.004047,0.007896,0.015878
0.004107,0.006875,0.020726
0.004331,0.008113,0.019634
0.005169,0.007762,0.020631
0.007422,0.008297,0.020138
0.004209,0.007919,0.020006
0.004179,0.012909,0.020107
0.004324,0.012910,0.019780
0.004156,0.007903,0.015702
