1024B,512B,256B
0.003217,0.006413,0.012444
0.001222,0.006819,0.013423
0.001634,0.006841,0.013107
0.002162,0.004536,0.014551
0.002193,0.004501,0.013771
0.002155,0.004520,0.013582
0.002190,0.004515,0.014640
0.002185,0.004488,0.013893
0.002175,0.004555,0.013450
0.002187,0.004494,0.014609
0.002185,0.004521,0.013938
0.002197,0.004522,0.013426
0.002177,0.004577,0.014532
0.002200,0.004536,0.013884
0.002192,0.004529,0.013483
0.002190,0.004593,0.014545
0.002192,0.004592,0.013771
0.002178,0.004595,0.013522
0.002176,0.004522,0.014607
0.002195,0.006611,0.012154
0.001635,0.007127,0.012364
0.002191,0.004652,0.013350
0.001230,0.007370,0.013200
0.002232,0.004639,0.014535
0.002233,0.004663,0.013912
0.002236,0.004648,0.013455
0.002228,0.004685,0.014605
0.002227,0.004730,0.014026
0.002240,0.004730,0.013451
0.001569,0.006778,0.012993
0.002200,0.004591,0.014457
0.002194,0.004557,0.013770
0.002196,0.004570,0.013509
0.002204,0.004633,0.014546
0.002208,0.004562,0.013774
0.002200,0.005115,0.013451
0.001291,0.006631,0.013126
0.002179,0.005021,0.014488
0.002173,0.004526,0.013709
0.002172,0.004560,0.013552
0.002182,0.004527,0.014601
0.002173,0.004507,0.013828
0.002178,0.004532,0.013521
0.002201,0.004544,0.014640
0.002191,0.004568,0.013863
0.002185,0.004508,0.013532
0.002181,0.004492,0.014569
0.002185,0.004534,0.013727
0.002196,0.004536,0.013649
0.002174,0.004553,0.014625
